,edad,AniosDireccion,Gastocoche,Aniosempleo,Aniosresiden,ingres
5676,33,12,18.1,14,1,36
1573,55,7,16.6,9,1,33
1762,30,3,42.900000000000006,4,4,87
5364,36,3,29.400000000000002,7,5,58
1765,37,16,11.3,7,2,24
2970,57,10,69.0,24,2,238
2379,58,37,9.0,23,1,18
1112,25,4,9.9,6,2,21
3621,32,13,31.5,8,6,66
2548,24,0,38.5,0,5,78
2393,40,17,10.0,0,1,20
4995,33,14,21.900000000000002,8,3,45
3654,38,6,13.700000000000001,15,1,27
2190,31,6,12.200000000000001,1,1,25
3420,51,2,48.2,13,3,93
5557,64,36,21.1,0,1,41
3735,21,1,9.600000000000001,0,7,19
4099,35,0,14.600000000000001,4,1,30
3467,58,9,67.9,23,2,355
4606,47,24,9.3,0,1,19
1334,33,13,56.6,14,4,114
1628,45,19,28.8,13,1,58
3196,44,13,33.4,18,2,66
4916,64,38,21.400000000000002,14,1,44
134,53,27,30.200000000000003,19,1,59
649,40,0,37.5,18,1,72
1661,64,42,80.4,40,2,637
3366,44,18,14.3,6,1,29
3282,55,29,17.8,15,1,35
3850,62,10,73.6,37,1,362
74,54,26,24.3,18,1,46
1360,35,12,14.8,4,3,30
886,66,29,76.0,27,3,152
4680,19,0,13.700000000000001,0,2,27
1244,39,18,31.3,3,4,66
1840,41,3,75.60000000000001,20,3,151
2960,24,3,22.200000000000003,2,1,44
3322,50,27,70.4,34,1,140
2706,32,7,14.200000000000001,2,4,30
5356,47,12,18.5,0,1,37
1331,30,6,19.6,2,3,40
3990,39,3,23.6,11,4,48
592,29,10,14.3,1,3,29
4972,64,16,13.0,29,4,27
4776,40,18,36.4,23,1,73
5180,53,20,90.4,33,2,184
1811,54,29,35.2,23,6,69
3055,35,9,17.900000000000002,17,1,36
5113,40,8,14.200000000000001,4,1,28
1760,50,4,90.10000000000001,22,1,183
3226,47,16,18.3,6,4,36
4387,61,14,7.4,18,2,15
4597,58,19,96.0,28,1,194
4424,51,5,58.800000000000004,26,2,116
2700,65,7,6.300000000000001,11,1,13
3652,25,0,11.4,2,5,22
3851,64,26,42.1,23,3,83
4760,61,33,6.9,16,1,14
615,46,18,12.100000000000001,7,3,25
42,28,5,13.8,3,4,29
4474,40,16,17.900000000000002,3,1,36
5362,26,1,24.0,3,4,50
2699,22,2,9.8,0,2,20
2291,26,7,14.5,5,4,29
2219,36,13,19.700000000000003,2,5,39
1624,49,9,37.7,9,4,77
5410,30,11,17.0,11,2,34
1215,34,15,11.4,4,1,23
3462,35,8,8.6,1,5,17
3262,38,11,12.4,6,3,25
314,53,12,38.900000000000006,24,2,77
2128,39,1,23.6,16,1,46
2961,37,6,21.3,12,2,42
5137,23,0,7.9,2,4,16
5742,59,9,19.5,3,2,39
493,27,8,13.100000000000001,1,3,27
3307,52,9,27.5,14,2,53
1911,69,40,6.0,13,1,12
2553,25,5,22.1,4,3,45
5606,20,0,10.8,0,1,21
5621,59,37,17.2,0,2,34
4408,28,7,12.3,1,2,25
1110,29,2,17.1,2,4,35
5670,28,2,8.4,9,4,17
4795,61,18,4.9,5,1,10
3630,27,1,16.1,0,2,33
1852,45,8,32.300000000000004,4,2,65
3136,38,17,26.1,3,4,52
3849,26,3,10.600000000000001,4,4,21
752,53,16,18.2,3,2,36
5177,42,22,50.6,13,5,100
2378,37,14,17.3,7,3,34
3081,21,0,6.5,0,2,13
1205,20,0,13.200000000000001,1,3,26
4971,67,37,10.3,4,2,21
5251,45,26,61.300000000000004,24,1,123
1069,31,1,11.100000000000001,10,4,23
245,54,30,35.4,5,1,71
4319,23,2,9.600000000000001,0,4,19
1582,24,4,9.4,1,2,19
5061,18,0,8.700000000000001,0,4,18
1979,38,13,22.400000000000002,17,2,45
3514,36,1,52.300000000000004,2,1,103
535,39,14,43.400000000000006,11,1,86
3686,31,2,19.8,2,6,39
4915,69,3,4.2,0,2,9
2510,28,5,69.0,5,6,138
1809,46,18,55.800000000000004,29,4,112
1834,49,20,28.200000000000003,4,4,55
4241,39,11,24.400000000000002,8,4,49
2354,39,4,21.700000000000003,6,1,46
3634,51,14,18.2,6,1,36
720,47,18,41.5,19,2,85
1740,62,28,10.5,5,3,20
206,32,6,8.5,2,4,17
1011,46,19,72.5,27,1,143
3909,48,21,41.0,11,2,84
1879,48,28,65.3,27,3,129
866,27,0,14.4,6,2,29
946,59,9,43.1,9,1,88
982,21,2,14.700000000000001,0,2,29
2109,38,7,48.300000000000004,12,2,96
2085,37,12,11.3,5,2,23
626,58,2,13.8,1,4,28
2704,51,18,16.1,3,4,32
225,23,2,12.3,1,3,25
3436,41,13,16.0,0,4,31
3494,46,6,27.400000000000002,14,3,54
260,42,13,24.900000000000002,11,5,51
4428,20,0,9.5,0,4,19
1687,34,3,31.0,2,7,62
5592,39,8,45.0,8,4,91
283,50,9,57.6,25,1,115
3482,27,4,13.4,4,4,27
4765,67,14,62.6,40,3,124
478,58,8,8.5,2,2,17
1106,33,14,20.8,0,6,42
3885,42,18,61.900000000000006,17,1,124
1476,58,30,49.5,36,1,100
4877,71,15,17.8,29,1,36
2416,58,1,62.300000000000004,33,4,123
1417,33,0,12.200000000000001,1,3,24
2214,22,1,12.700000000000001,1,1,25
4112,58,13,51.400000000000006,28,1,105
4025,31,12,22.8,3,1,47
5458,58,6,77.2,26,1,153
3114,56,32,19.5,8,2,39
5383,33,14,27.0,3,1,52
5403,27,8,8.6,1,1,17
1335,46,2,28.8,8,2,60
3657,36,16,46.6,15,3,93
3759,51,18,19.700000000000003,8,1,39
452,71,15,8.4,24,2,17
916,39,6,28.6,12,1,57
3146,34,1,14.200000000000001,6,6,29
2603,51,29,16.8,1,2,33
4325,58,8,15.0,3,2,30
1343,26,1,17.6,8,1,35
1324,45,19,26.3,5,3,54
3414,68,20,64.3,25,2,130
3046,50,19,33.9,28,1,66
1509,43,14,19.1,7,2,39
2179,36,12,45.400000000000006,7,1,92
1898,35,12,23.900000000000002,4,2,47
827,47,16,77.0,29,1,152
1285,32,9,30.6,1,1,61
4964,36,7,10.0,3,3,20
327,33,12,15.5,7,1,31
3587,40,3,38.2,14,1,75
797,49,8,26.6,19,2,56
16,37,1,11.0,3,3,21
2135,43,12,17.400000000000002,9,1,35
5292,39,14,12.8,6,2,26
1722,47,22,22.6,14,1,46
3484,46,5,28.8,3,1,57
2829,27,3,21.3,5,2,43
162,33,12,19.400000000000002,8,5,39
5324,32,6,15.100000000000001,0,3,30
2460,47,13,39.5,10,5,79
2640,39,3,12.9,1,2,25
1020,47,3,83.60000000000001,10,1,165
5420,55,30,20.200000000000003,6,4,40
1453,28,4,8.3,2,1,17
972,38,15,60.900000000000006,8,1,125
430,39,15,52.400000000000006,16,1,106
1621,47,24,34.5,25,1,70
4359,39,18,40.2,13,2,80
5108,36,4,34.7,12,2,70
4485,53,26,60.6,20,2,120
3860,56,22,25.8,21,1,51
2552,49,29,72.7,25,1,275
2041,36,0,12.5,0,2,25
1744,25,6,7.6000000000000005,0,3,15
4251,31,7,11.8,0,1,24
5366,47,17,53.900000000000006,19,1,109
4841,68,41,57.0,36,1,113
2645,39,14,28.6,5,4,58
2282,49,29,27.1,18,2,54
778,42,13,34.6,1,1,69
4398,64,43,82.3,32,2,375
2312,52,17,35.9,17,5,73
2335,40,19,92.10000000000001,16,1,184
558,31,9,37.4,0,1,77
3581,26,2,8.9,0,3,18
239,64,26,24.6,19,1,51
1706,38,0,14.5,3,4,29
2075,28,5,13.600000000000001,0,2,28
102,19,0,10.3,0,5,20
4189,27,7,24.400000000000002,8,5,48
2561,31,0,43.800000000000004,0,5,85
4438,56,30,77.2,25,1,245
2906,29,9,22.900000000000002,2,1,47
390,35,14,21.700000000000003,8,5,43
2816,52,8,59.7,20,2,119
103,39,10,18.0,7,1,37
4708,48,23,69.0,18,1,139
3171,37,4,21.0,14,4,44
2255,51,14,57.300000000000004,26,1,112
4459,52,26,26.6,13,1,52
2049,21,1,11.3,0,6,22
2515,41,14,20.700000000000003,3,1,42
2620,36,1,30.3,3,2,61
3439,76,35,9.0,24,2,18
344,35,10,31.5,9,5,64
1077,43,6,17.1,6,3,34
4685,41,10,29.400000000000002,13,5,59
2650,33,4,38.7,11,3,76
3266,47,19,70.10000000000001,25,5,138
5532,45,5,43.0,17,1,84
2721,70,35,8.4,18,1,17
1484,31,5,29.3,4,1,60
3707,23,2,10.5,0,4,21
3430,51,10,16.6,17,2,33
5400,26,2,25.400000000000002,0,4,51
126,43,15,46.5,24,4,91
4895,30,6,19.400000000000002,6,4,39
4220,26,2,13.8,0,4,28
4867,32,6,24.3,9,3,50
2080,42,11,77.30000000000001,16,3,156
2811,55,7,45.300000000000004,5,3,89
359,44,3,70.3,14,2,139
5721,30,0,8.0,4,2,16
4457,39,14,30.8,14,1,62
3530,34,2,10.600000000000001,0,4,21
1575,29,3,24.400000000000002,2,5,50
961,42,19,51.2,10,3,102
1975,56,30,13.100000000000001,3,2,26
5552,57,3,20.900000000000002,15,2,42
2649,45,7,60.400000000000006,20,1,122
2043,27,3,16.5,7,6,34
5757,33,4,12.600000000000001,2,3,26
2000,47,12,28.400000000000002,14,3,58
300,52,28,13.200000000000001,2,1,27
3028,22,2,7.5,3,1,15
1411,44,14,19.3,7,2,40
1732,39,11,13.4,4,3,27
1683,24,2,12.8,7,3,25
1737,33,7,27.400000000000002,11,5,53
1475,43,12,34.5,2,2,70
2105,52,29,16.5,11,2,34
4888,54,30,73.4,37,1,275
399,28,6,14.5,7,1,29
3957,42,1,37.800000000000004,11,2,74
1266,32,1,15.200000000000001,6,5,31
1073,37,0,17.5,0,2,35
3424,49,13,36.5,16,2,72
1585,43,0,74.6,18,1,252
3240,57,34,28.200000000000003,6,2,57
291,57,2,78.60000000000001,32,2,156
5268,30,10,29.900000000000002,1,1,60
4602,32,11,23.8,8,1,47
2963,54,35,69.8,31,4,140
2167,22,2,18.400000000000002,0,5,36
3969,25,3,11.600000000000001,0,4,24
394,32,9,14.700000000000001,0,2,30
5535,21,1,12.8,0,4,27
506,40,4,45.1,4,4,88
3953,42,22,17.2,0,1,35
1550,47,9,25.200000000000003,14,1,51
840,36,6,33.4,14,5,68
2310,52,24,77.7,35,1,313
4674,62,5,76.8,21,2,260
4525,29,9,14.5,10,6,29
1495,23,3,13.4,1,2,27
367,66,29,34.800000000000004,20,3,72
4073,37,16,23.0,10,1,46
1881,35,15,9.3,4,5,19
489,61,38,56.2,26,3,115
1897,25,2,11.200000000000001,5,5,22
5687,38,3,69.10000000000001,14,1,138
2847,35,7,18.6,9,1,37
2608,51,15,51.1,26,2,103
2034,46,4,14.200000000000001,11,1,30
4211,40,14,34.9,6,5,69
407,48,4,55.0,22,1,109
728,33,7,36.1,14,2,72
2454,41,10,19.900000000000002,0,2,38
572,39,9,50.7,2,1,106
94,34,7,14.5,1,3,28
1815,52,22,38.0,12,2,75
4276,39,4,31.900000000000002,20,2,64
4659,41,14,12.600000000000001,7,2,26
4634,54,9,70.4,25,1,206
1190,32,11,85.0,5,3,170
1282,18,0,8.6,0,1,17
3970,29,3,14.600000000000001,4,5,30
5207,47,10,59.5,19,1,121
4614,39,11,40.300000000000004,1,4,82
2681,40,10,91.80000000000001,5,5,183
4778,52,6,26.400000000000002,8,1,52
1305,57,2,8.0,26,2,16
2401,24,0,13.600000000000001,4,4,27
730,31,4,9.200000000000001,2,4,18
5114,53,11,74.6,25,1,252
5118,24,4,13.3,0,5,27
3544,65,5,4.7,8,1,10
109,38,15,19.400000000000002,9,1,39
2249,59,18,35.300000000000004,0,2,71
2665,28,9,24.5,4,5,49
3824,35,8,26.0,5,4,55
3263,26,4,9.8,1,4,20
4097,34,14,50.0,5,1,100
1631,64,4,69.7,15,3,140
1460,39,20,38.2,14,2,77
4080,49,3,49.7,14,1,100
4218,26,0,8.5,4,4,17
4106,61,0,51.900000000000006,14,3,102
3606,41,15,82.7,16,2,165
382,26,5,10.200000000000001,2,1,20
1345,24,3,18.1,1,4,36
2764,26,7,17.0,1,5,34
4433,56,4,34.0,12,2,67
5156,30,6,9.4,5,2,19
3764,40,18,24.0,5,6,50
3131,36,5,11.5,4,2,23
4853,24,4,8.0,0,3,16
2999,34,4,56.300000000000004,9,3,114
17,51,10,26.1,2,1,51
2903,20,1,11.0,1,1,22
3956,55,23,76.2,31,2,240
4364,42,16,65.10000000000001,18,2,126
1525,30,5,23.5,1,2,47
3889,38,19,30.200000000000003,12,1,60
3129,25,6,15.4,3,3,31
1613,76,56,4.2,5,2,9
4505,34,12,24.0,1,1,48
4150,53,30,17.2,9,1,34
2506,37,1,42.0,15,5,86
2156,39,17,48.7,18,2,94
4109,44,2,21.8,4,1,44
127,27,6,22.0,6,1,44
3217,36,1,22.900000000000002,1,1,46
5597,34,11,18.8,16,2,38
1274,41,18,32.6,17,1,65
4999,33,5,9.3,7,5,19
2198,46,3,82.30000000000001,26,3,163
1145,61,38,6.6000000000000005,12,1,13
3651,23,0,5.6000000000000005,0,1,11
3863,45,15,43.800000000000004,27,2,86
2577,52,9,40.900000000000006,1,1,82
1555,29,10,21.3,9,1,44
646,70,34,36.9,32,2,75
4454,73,18,33.2,44,1,67
4070,43,11,29.3,23,1,58
440,35,13,29.8,15,2,60
2431,38,17,21.5,13,4,45
4148,34,15,56.900000000000006,10,5,112
1636,49,5,34.9,3,2,69
717,35,6,9.4,2,4,19
2896,24,2,19.1,0,3,38
4168,33,4,18.1,13,1,36
5196,49,13,21.1,12,3,44
2686,45,23,23.200000000000003,1,3,48
810,54,15,61.7,29,1,124
4893,52,27,75.5,31,1,315
3231,32,11,9.3,7,4,19
5024,45,13,56.7,4,1,113
3209,55,10,22.900000000000002,12,3,47
1142,56,36,56.1,21,4,112
2397,34,3,8.3,6,4,17
5594,48,12,50.800000000000004,27,1,103
3242,29,0,34.2,10,1,67
2290,46,15,18.900000000000002,4,1,39
5427,32,7,15.5,3,1,30
667,63,30,11.200000000000001,4,2,23
3736,52,4,34.800000000000004,15,7,72
500,28,2,21.400000000000002,11,4,42
1685,66,25,17.3,29,2,34
4274,68,39,7.800000000000001,3,1,16
2405,45,14,50.7,10,3,104
2006,43,18,31.0,12,6,60
3637,25,3,6.300000000000001,0,1,13
5058,35,6,50.300000000000004,13,1,100
1159,30,8,16.1,8,4,32
2990,62,31,90.7,13,1,182
2349,29,1,37.5,1,4,75
726,27,8,10.8,5,2,22
3229,31,3,24.3,7,1,49
555,38,9,9.4,5,1,19
3782,65,38,15.200000000000001,17,4,31
4207,63,15,52.7,21,4,105
2840,31,4,21.0,3,6,43
3767,43,22,80.1,11,1,292
3201,28,6,16.900000000000002,0,1,34
4918,40,21,24.0,9,4,49
1625,58,6,75.4,22,1,292
5707,33,13,34.5,10,7,69
1646,42,5,33.2,2,2,67
1678,41,10,26.6,15,5,53
1938,48,5,18.7,8,2,40
133,26,6,13.8,5,1,28
5300,34,4,39.400000000000006,7,1,79
1918,73,37,4.9,6,2,10
383,31,11,14.4,9,2,29
5529,42,21,26.8,8,2,51
2010,45,24,16.5,10,2,34
5090,53,12,48.800000000000004,32,1,97
757,61,24,76.6,22,1,270
1113,45,1,16.8,7,2,34
3085,55,29,72.0,27,1,142
2627,67,18,23.8,18,1,46
4232,45,22,8.6,0,1,17
2438,61,21,38.2,33,1,77
4504,33,13,24.400000000000002,10,6,47
1187,24,3,6.5,0,1,13
3416,24,3,7.9,0,2,16
1245,30,7,12.8,10,1,25
804,61,2,6.300000000000001,1,2,13
539,24,1,12.700000000000001,8,1,26
922,29,2,10.600000000000001,0,5,22
1531,42,14,30.3,9,2,61
5714,35,6,32.800000000000004,10,2,65
2913,41,20,10.700000000000001,1,3,21
2224,33,13,21.1,15,4,41
3068,23,3,9.5,1,5,19
2301,60,21,8.9,34,1,18
3435,51,29,62.1,25,1,125
1518,26,2,14.700000000000001,0,4,29
2898,32,8,10.4,4,1,21
798,39,6,39.800000000000004,16,1,81
453,38,12,31.200000000000003,3,4,61
4451,52,15,11.5,13,1,23
5210,31,2,15.8,1,1,31
168,46,7,75.0,23,1,201
3894,31,10,15.4,4,2,32
5474,54,31,30.0,1,2,60
2351,26,2,12.9,6,3,25
1489,54,9,15.9,16,2,33
4556,30,6,10.100000000000001,5,1,20
1462,25,6,14.200000000000001,1,4,29
3729,35,9,14.0,2,3,28
881,22,2,8.5,1,4,17
3942,35,7,19.700000000000003,3,1,38
4514,48,5,34.6,3,2,69
5533,42,0,25.900000000000002,3,4,51
900,54,29,79.2,25,1,160
3140,65,4,5.0,4,2,10
3047,26,1,7.4,0,5,15
2623,48,17,22.200000000000003,3,3,46
3315,26,1,12.3,3,2,24
538,29,1,15.200000000000001,5,1,31
1486,35,11,24.0,10,3,48
1564,42,3,45.800000000000004,21,5,93
4698,25,2,10.0,0,7,20
4384,52,18,68.9,33,2,134
3934,20,0,18.1,0,2,36
5027,23,4,12.600000000000001,5,1,25
641,49,20,30.400000000000002,23,3,61
4415,38,15,27.1,14,1,56
3793,43,13,33.7,8,2,66
3775,38,12,15.200000000000001,15,4,31
1770,35,16,29.5,12,1,61
2145,73,25,5.300000000000001,35,1,11
4028,42,11,15.5,2,1,31
3203,40,19,16.8,2,2,33
3812,32,3,37.0,10,5,74
4665,53,18,24.5,10,1,48
3236,51,26,22.5,5,3,45
1147,32,3,13.0,5,1,25
3787,45,13,13.5,13,1,28
5461,44,12,24.8,10,2,50
3261,31,5,13.0,2,3,26
3801,62,28,79.3,37,3,235
3931,20,0,6.800000000000001,0,5,14
767,33,10,25.3,9,1,52
4817,24,2,11.9,0,7,24
1479,55,5,28.3,12,1,55
1440,53,22,89.80000000000001,34,1,179
924,30,1,23.400000000000002,10,1,48
1099,34,6,37.2,7,3,77
2133,30,2,10.8,3,2,21
2492,36,12,39.5,15,3,79
4035,21,2,12.100000000000001,0,1,25
1382,57,10,47.1,30,2,95
1893,31,1,14.0,8,4,28
2844,62,15,68.1,11,1,258
5623,37,0,20.0,12,4,40
2051,35,15,28.200000000000003,1,1,57
2537,31,4,12.600000000000001,4,2,26
5309,54,2,19.8,16,2,40
3320,30,3,26.6,11,3,53
53,49,8,25.900000000000002,8,1,50
1607,36,6,26.200000000000003,2,3,53
5399,19,0,8.0,0,3,16
4271,46,7,40.5,14,3,83
1264,33,3,15.4,1,1,30
4489,58,25,15.4,7,1,31
2178,50,28,76.8,30,3,244
4147,25,4,15.3,0,1,31
5258,65,9,38.800000000000004,19,3,79
370,25,3,13.9,1,6,28
1552,66,46,6.1000000000000005,6,3,12
956,57,5,25.400000000000002,20,1,49
1681,44,21,13.0,3,1,26
2208,39,9,15.5,7,2,31
4417,25,3,11.4,3,1,22
5322,34,4,16.400000000000002,3,3,34
1009,32,1,16.1,13,2,33
4558,25,0,15.8,2,4,32
3008,34,9,15.4,7,5,31
1158,48,9,24.6,11,2,49
1024,38,3,39.0,9,4,78
4711,38,19,11.3,0,3,23
3688,31,4,16.400000000000002,0,1,33
4242,63,32,7.1000000000000005,11,2,14
1114,48,1,75.2,20,3,147
3936,31,3,22.1,1,7,45
5641,23,0,12.9,5,4,25
5176,46,23,24.3,10,2,47
846,55,30,48.5,0,1,97
2763,67,38,17.7,19,1,36
5717,39,11,52.7,11,2,109
3935,35,4,14.200000000000001,0,5,29
1454,45,4,43.0,11,1,88
4466,39,3,11.9,5,6,24
194,34,15,14.600000000000001,1,1,30
3508,52,24,11.0,6,1,22
5560,40,9,30.5,6,5,61
274,29,5,23.6,4,4,48
1430,44,19,44.6,12,1,88
2489,39,20,22.200000000000003,8,4,44
3871,54,5,92.5,25,2,192
2619,50,29,42.1,14,2,86
5145,41,14,23.700000000000003,4,1,49
2841,29,6,18.400000000000002,5,3,37
2777,46,0,75.1,15,2,213
4528,68,6,4.5,2,2,9
991,47,25,31.6,9,1,62
908,37,6,54.7,0,4,110
2879,27,5,18.400000000000002,5,4,37
5607,47,0,39.7,25,3,80
2114,38,6,44.6,9,1,92
2101,38,8,17.2,6,1,35
5393,30,2,49.1,5,3,96
1144,60,3,53.900000000000006,28,2,109
3352,43,7,28.8,15,3,59
4565,59,27,22.1,7,1,46
4796,59,15,34.0,20,2,66
3571,28,6,14.200000000000001,8,1,28
2710,47,6,76.2,19,1,153
1692,66,28,15.200000000000001,8,2,30
3740,60,9,17.5,2,2,35
1941,61,4,22.700000000000003,5,1,46
1651,31,0,9.9,4,1,20
1478,56,23,75.8,32,1,210
5379,43,23,12.9,1,3,26
1528,42,6,34.7,18,2,68
4075,26,5,35.2,2,2,70
55,24,4,11.9,1,3,24
1878,52,19,68.7,26,4,137
568,48,23,31.6,22,1,64
2766,29,4,14.9,1,4,30
4694,45,16,19.1,18,5,38
487,33,14,15.8,1,6,32
5029,28,2,7.9,0,3,16
3486,49,19,20.6,9,1,41
775,44,7,16.3,0,1,33
2747,25,0,14.600000000000001,2,2,30
1002,64,30,10.700000000000001,7,2,22
2611,49,22,76.10000000000001,19,6,154
197,21,2,9.8,2,1,20
5732,32,9,37.9,6,1,75
4061,37,1,14.700000000000001,4,5,29
3506,48,18,76.7,20,2,275
172,34,6,25.900000000000002,7,3,54
1556,33,1,22.400000000000002,10,2,43
4304,27,2,33.2,1,4,66
4248,34,13,13.5,8,7,27
3311,44,3,18.7,5,5,38
2539,37,9,26.400000000000002,11,1,54
4152,35,8,48.7,13,5,97
1662,38,19,31.700000000000003,9,1,65
935,60,8,4.4,0,2,9
5591,43,5,9.3,1,1,19
3065,37,15,46.0,14,3,90
1261,26,0,36.2,4,5,75
1935,24,3,13.5,0,3,27
5373,51,31,24.400000000000002,17,2,48
4240,60,34,11.4,31,5,22
2642,45,12,24.3,10,6,48
5375,30,2,21.5,0,1,42
4527,56,21,22.200000000000003,5,1,42
633,44,15,22.1,11,1,46
3913,45,2,22.0,18,4,45
3529,22,1,10.4,0,1,21
120,41,3,29.700000000000003,14,1,59
806,59,40,29.1,7,1,58
1483,36,8,7.5,0,1,15
476,57,20,73.5,20,3,307
4551,26,2,11.9,2,3,22
1994,47,2,35.300000000000004,22,1,70
325,51,1,60.900000000000006,19,2,122
3042,40,0,12.700000000000001,3,3,26
2839,36,14,14.200000000000001,3,1,28
1925,40,7,26.6,14,1,52
4267,48,23,19.400000000000002,0,2,40
1379,40,0,17.3,4,2,35
1664,36,5,24.3,11,8,50
5617,66,3,29.3,15,2,58
3270,24,1,18.5,3,1,38
4456,48,14,17.6,7,2,35
406,31,5,18.400000000000002,8,1,37
1763,52,22,77.0,31,4,706
2550,54,20,29.1,5,2,58
5503,37,0,16.1,11,1,32
2613,47,21,90.4,21,2,181
1894,53,0,13.5,3,4,27
5119,47,21,19.400000000000002,21,3,39
5239,44,19,9.4,5,2,19
5216,34,11,18.400000000000002,5,2,37
3309,25,4,9.9,2,3,20
545,29,0,37.0,8,1,75
955,43,5,23.5,19,4,48
3119,58,13,62.6,17,2,125
1044,44,25,10.100000000000001,2,1,21
5701,39,19,22.6,17,2,47
3106,50,3,20.6,7,4,41
3112,44,6,27.0,16,1,55
2861,42,15,10.200000000000001,3,1,20
3586,22,2,10.3,0,2,21
2491,35,1,18.6,11,4,37
3595,31,7,13.9,8,1,28
1592,38,18,8.6,0,2,17
2271,54,0,15.200000000000001,16,1,31
2865,57,23,28.6,18,2,57
5307,44,5,54.800000000000004,13,1,109
5447,24,0,10.8,1,1,22
1296,40,15,29.5,12,2,57
5022,30,1,14.600000000000001,2,1,29
204,36,7,46.800000000000004,2,2,95
2374,39,16,14.100000000000001,7,2,28
2470,33,13,45.900000000000006,8,4,92
2341,65,21,33.1,22,4,68
5122,42,4,24.700000000000003,3,2,50
4130,47,17,35.2,17,2,71
5565,39,3,20.900000000000002,7,2,40
5472,41,3,15.100000000000001,7,1,30
1168,50,13,89.4,23,1,180
3886,61,41,49.6,33,2,99
2123,42,12,16.0,15,1,32
4619,60,5,40.400000000000006,17,4,83
931,31,2,28.8,9,3,57
5674,32,2,14.100000000000001,7,5,28
923,32,11,21.8,15,2,44
1695,67,42,82.30000000000001,36,2,165
4020,47,1,19.8,13,3,38
5389,52,0,91.5,25,2,184
3040,35,3,30.3,14,3,60
87,31,1,23.0,5,2,46
1302,31,4,65.8,8,1,128
2358,33,0,21.400000000000002,3,5,42
883,60,37,6.0,15,1,12
25,20,0,16.900000000000002,0,1,34
3144,39,13,39.300000000000004,12,1,77
5663,27,7,34.6,3,1,70
3043,67,17,20.3,14,2,41
4353,66,7,25.8,36,2,51
1064,63,6,5.4,17,1,11
1746,27,4,7.6000000000000005,0,1,15
1435,45,21,32.7,16,1,64
3974,22,3,12.5,1,3,26
1240,53,25,10.200000000000001,3,2,21
4383,42,12,62.1,21,2,124
1357,39,11,37.6,9,2,73
5519,38,16,37.2,19,2,74
4413,48,25,86.2,22,2,173
2517,56,16,84.4,22,1,170
1188,38,13,71.10000000000001,3,1,142
3493,38,1,53.5,9,4,105
2017,31,9,11.4,0,3,23
3684,44,22,26.700000000000003,20,3,54
1070,47,6,20.6,3,1,43
1012,39,15,9.1,2,4,18
448,35,0,11.0,3,4,22
1182,30,11,15.200000000000001,3,4,30
5595,53,3,42.900000000000006,9,2,85
736,28,6,14.5,6,1,28
